adapters,predicted_score,heldout_score,feasible,slice_id,method
chauhoang_4909ad74_a335_4972_9+mrhungddddh_911f6275_22fd_4f41+datlaaaaaaa_0dbe42c8_b07b_4785,40.43995447158831,22.756770324707,0,qwen25_real_m50_balanced_random_seed20260505,linear
tuanna08go_7647f014_8af3_4266+duyphu_4909ad74_a335_4972_9ed8+hongngo_7e251dfc_e0f7_4f73_aae,34.11676604139264,13.404670429229704,0,qwen25_real_m50_balanced_random_seed20260504,linear
adammandic87_3d7a58a6_4380_4e3+chauhoang_4909ad74_a335_4972_9+nbninh_a1f78795_1b61_4923_9235,32.82929706343883,18.16612787246701,0,qwen25_real_m50_circulant_balanced_seed20260503,linear
nhoxinh_2f944a50_cbd3_4334_af8+datlaaaaaaa_0dbe42c8_b07b_4785+nhung03_7b6cdc3c_7130_4c2c_a2c,30.236509513855765,25.930050086975065,0,qwen25_real_m50_balanced_random_seed20260503,linear
cunghoctienganh_b7496e73_1762+datlaaaaaaa_0dbe42c8_b07b_4785+nhung03_7b6cdc3c_7130_4c2c_a2c,30.14560418633521,32.37687654495236,0,qwen25_real_m50_balanced_random_seed20260504,linear
duyphu_0112d9da_9934_4614_b233+nbninh_a1f78795_1b61_4923_9235+hongngo_7e251dfc_e0f7_4f73_aae,28.40044803621397,17.9702074050903,0,qwen25_real_m50_balanced_random_seed20260503,linear
cunghoctienganh_b7496e73_1762+hongngo_9d92894f_7b7b_49e0_8f3+nhung02_db2c9545_4607_487b_9cc,27.93997235298153,22.00221128463742,0,qwen25_real_m50_balanced_random_seed20260503,linear
tuanna08go_c1cf0152_7ae6_43b6+laquythang_8444c3be_8779_4769+datlaaaaaaa_e8cccbe1_c136_409a,27.3820534746684,6.317403984069792,0,qwen25_real_m50_circulant_balanced_seed20260503,linear
cunghoctienganh_b7496e73_1762+mrhunghd_9e58333c_df22_4a00_9c+datlaaaaaaa_e8cccbe1_c136_409a,27.329454067185328,11.406830024719206,0,qwen25_real_m50_balanced_random_seed20260505,linear
duyphu_7aba420b_74ac_4209_b514+laquythang_8444c3be_8779_4769+datlaaaaaaa_e8cccbe1_c136_409a,26.204926470056925,3.1428515516126883,0,qwen25_real_m50_balanced_random_seed20260503,linear
cunghoctienganh_4909ad74_a335+duyphu_4909ad74_a335_4972_9ed8+duyphu_0112d9da_9934_4614_b233,25.484159017489983,23.86963672637936,0,qwen25_real_m50_balanced_random_seed20260504,linear
versil91_8444c3be_8779_4769_a0+hongngo_7e251dfc_e0f7_4f73_aae+datlaaaaaaa_e8cccbe1_c136_409a,25.20546653145251,8.263018798828092,0,qwen25_real_m50_circulant_balanced_seed20260503,linear
versil91_01a5620a_fb5f_4bab_94+duyphu_0112d9da_9934_4614_b233+nhoxinh_0c66c9c5_5cc2_46a8_9db,24.94411005720245,12.27577037811276,0,qwen25_real_m50_balanced_random_seed20260503,linear
cunghoctienganh_b7496e73_1762+nhung02_db2c9545_4607_487b_9cc+mrhungddddh_911f6275_22fd_4f41,24.90659619315338,25.79814500808713,0,qwen25_real_m50_balanced_random_seed20260503,linear
nhoxinh_2f944a50_cbd3_4334_af8+nhoxinh_0c66c9c5_5cc2_46a8_9db+nhung03_7b6cdc3c_7130_4c2c_a2c,24.6855598084578,16.78382463455197,0,qwen25_real_m50_balanced_random_seed20260505,linear
cunghoctienganh_4909ad74_a335+phungkhaccuong_a992b7f5_9d18_c+datlaaaaaaa_0dbe42c8_b07b_4785,24.66394743417874,2.196720314025846,0,qwen25_real_m50_balanced_random_seed20260503,linear
